department_id_1,department_name_1,department_id_2,department_name_2,course_similarity_weighted,course_similarity_binary,score_median_1,score_median_2,score_difference_median
D19,식품영양학과,D21,전기전자공학과,0.7368500784936066,0.7557421816064582,3.22,3.04,0.18000000000000016
D11,경영학과,D22,사학과,0.735402152927643,0.7337993857053434,2.5,3.5,1.0
D05,화학과,D07,신소재공학과,0.7346308866924531,0.7559289460184541,3.04,2.535,0.5049999999999999
D01,건축학과,D16,미디어커뮤니케이션학과,0.7329409123199369,0.7329409123199369,2.86,2.685,0.17499999999999982
D07,신소재공학과,D12,약학과,0.7319250547113997,0.7319250547113997,2.535,1.23,1.3050000000000002
D07,신소재공학과,D09,의예과,0.7319250547113997,0.7319250547113997,2.535,1.15,1.3850000000000002
D07,신소재공학과,D24,컴퓨터공학과,0.7307981486470351,0.7807200583588263,2.535,2.92,0.3849999999999998
D07,신소재공학과,D19,식품영양학과,0.7280252083092639,0.7280252083092639,2.535,3.22,0.685
D06,산업공학과,D14,경제학과,0.7276068751089988,0.6708203932499368,3.05,3.495,0.4450000000000003
D11,경영학과,D17,화학공학과,0.7274300783927184,0.727532837268552,2.5,2.4450000000000003,0.054999999999999716
D06,산업공학과,D20,간호학과,0.7255423196197439,0.75,3.05,2.25,0.7999999999999998
D01,건축학과,D13,사회학과,0.7252406676228426,0.7252406676228426,2.86,3.19,0.33000000000000007
D03,심리학과,D21,전기전자공학과,0.7127509644204136,0.6847623832623262,2.635,3.04,0.40500000000000025
D06,산업공학과,D23,응용통계학과,0.7071067811865475,0.7071067811865475,3.05,3.13,0.08000000000000007
D09,의예과,D11,경영학과,0.7002186247515695,0.7016464154456236,1.15,2.5,1.35
D11,경영학과,D12,약학과,0.7002186247515695,0.7016464154456236,2.5,1.23,1.27
D05,화학과,D23,응용통계학과,0.7001400420140051,0.725774738602423,3.04,3.13,0.08999999999999986
D20,간호학과,D24,컴퓨터공학과,0.6987648984847126,0.7267220926874318,2.25,2.92,0.6699999999999999
D06,산업공학과,D08,조선해양공학과,0.6963106238227914,0.6666666666666665,3.05,6.93,3.88
D20,간호학과,D23,응용통계학과,0.6941073863259757,0.7071067811865475,2.25,3.13,0.8799999999999999
D14,경제학과,D16,미디어커뮤니케이션학과,0.6931032800836721,0.684653196881458,3.495,2.685,0.81
D09,의예과,D21,전기전자공학과,0.6914107176547125,0.7150969419341945,1.15,3.04,1.8900000000000001
D12,약학과,D21,전기전자공학과,0.6914107176547125,0.7150969419341945,1.23,3.04,1.81
D10,수학과,D16,미디어커뮤니케이션학과,0.6885303726590967,0.708333333333334,3.375,2.685,0.69
D19,식품영양학과,D23,응용통계학과,0.6880624620561868,0.6880624620561868,3.22,3.13,0.0900000000000003
D12,약학과,D23,응용통계학과,0.685160159703149,0.685160159703149,1.23,3.13,1.9
D09,의예과,D23,응용통계학과,0.685160159703149,0.685160159703149,1.15,3.13,1.98
D09,의예과,D16,미디어커뮤니케이션학과,0.684653196881458,0.684653196881458,1.15,2.685,1.5350000000000001
D12,약학과,D16,미디어커뮤니케이션학과,0.684653196881458,0.684653196881458,1.23,2.685,1.455
D16,미디어커뮤니케이션학과,D24,컴퓨터공학과,0.683599072781475,0.6390096504226941,2.685,2.92,0.23499999999999988
D07,신소재공학과,D11,경영학과,0.683343406974978,0.6847367880174607,2.535,2.5,0.03500000000000014
D03,심리학과,D24,컴퓨터공학과,0.6819493713282129,0.6155870112510926,2.635,2.92,0.28500000000000014
D13,사회학과,D18,디자인학과,0.6777389936698861,0.6605782590758165,3.19,4.12,0.9300000000000002
D02,국어국문학과,D24,컴퓨터공학과,0.6769230769230768,0.5965587590013044,3.705,2.92,0.7850000000000001
D16,미디어커뮤니케이션학과,D21,전기전자공학과,0.6762522260005744,0.6527912098338673,2.685,3.04,0.355
D16,미디어커뮤니케이션학과,D18,디자인학과,0.6759225880448443,0.6851601597031494,2.685,4.12,1.435
